Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Sales,Total,Date,Payment,Rating
West,Madurai,Member,Male,Fruits & Veggies,87.17,6,26.15,523,549.15,12-03-2018,Credit card,9.0
Central,Nagercoil,Normal,Female,Beverages,1301.0,1,65.05,1301,1366.05,04-03-2017,Credit card,6.2
West,Madurai,Normal,Female,Food Grains,288.5,4,57.7,1154,1211.7,11/29/2015,Credit card,9.2
Central,Cumbum,Normal,Female,"Eggs, Meat & Fish",409.0,5,102.25,2045,2147.25,12/27/2016,Cash,6.4
West,Ooty,Normal,Male,Beverages,213.0,3,31.95,639,670.95,4/17/2018,Cash,6.0
East,Chennai,Normal,Male,Snacks,124.56,9,56.05,1121,1177.05,11-01-2015,Cash,6.7
East,Tenkasi,Normal,Male,"Eggs, Meat & Fish",1229.0,1,61.45,1229,1290.45,11-05-2016,Credit card,8.6
West,Cumbum,Normal,Female,Fruits & Veggies,229.83,6,68.95,1379,1447.95,11-06-2018,Cash,4.8
West,Nagercoil,Member,Female,Beverages,325.5,6,97.65,1953,2050.65,5/30/2017,Ewallet,5.2
East,Ramanadhapuram,Member,Female,Bakery,119.2,5,29.8,596,625.8,9/20/2015,Ewallet,9.7
West,Bodi,Member,Male,Fruits & Veggies,216.6,5,54.15,1083,1137.15,11/13/2016,Cash,5.1
East,Chennai,Normal,Female,Snacks,254.4,5,63.6,1272,1335.6,12-08-2018,Ewallet,7.4
West,Kanyakumari,Normal,Female,Food Grains,415.0,6,124.5,2490,2614.5,9/22/2017,Ewallet,7.5
West,Kanyakumari,Member,Male,Bakery,133.62,8,53.45,1069,1122.45,11-02-2018,Credit card,6.9
East,Karur,Normal,Male,Food Grains,749.0,2,74.9,1498,1572.9,5/19/2018,Cash,7.9
Central,Krishnagiri,Normal,Male,Food Grains,298.67,6,89.6,1792,1881.6,4/18/2015,Cash,5.4
South,Tenkasi,Member,Male,Beverages,1471.0,1,73.55,1471,1544.55,04-05-2015,Credit card,7.3
West,Namakkal,Normal,Female,"Eggs, Meat & Fish",328.5,4,65.7,1314,1379.7,6/26/2017,Ewallet,6.2
Central,Salem,Normal,Male,Food Grains,264.67,3,39.7,794,833.7,06-03-2015,Ewallet,8.0
South,Perambalur,Member,Male,"Eggs, Meat & Fish",148.56,9,66.85,1337,1403.85,02-11-2015,Cash,4.8
West,Viluppuram,Normal,Female,Oil & Masala,407.67,3,61.15,1223,1284.15,4/23/2018,Ewallet,7.4
East,Vellore,Member,Male,"Eggs, Meat & Fish",359.83,6,107.95,2159,2266.95,12/24/2015,Credit card,5.1
West,Bodi,Normal,Male,"Eggs, Meat & Fish",1514.0,1,75.7,1514,1589.7,3/19/2018,Credit card,5.7
West,Tirunelveli,Normal,Male,Bakery,285.67,6,85.7,1714,1799.7,11-10-2017,Cash,5.3
West,Salem,Normal,Male,Fruits & Veggies,565.75,4,113.15,2263,2376.15,7/25/2015,Credit card,5.1
South,Tirunelveli,Member,Female,Snacks,67.0,8,26.8,536,562.8,11/23/2018,Credit card,9.0
East,Theni,Normal,Male,Food Grains,241.67,9,108.75,2175,2283.75,3/25/2018,Cash,5.7
West,Trichy,Normal,Female,Bakery,198.5,4,39.7,794,833.7,8/17/2016,Credit card,9.6
East,Virudhunagar,Member,Female,Oil & Masala,128.83,6,38.65,773,811.65,05-07-2017,Credit card,9.8
West,Pudukottai,Normal,Male,Beverages,2103.0,1,105.15,2103,2208.15,1/21/2018,Credit card,7.4
East,Tenkasi,Member,Female,Food Grains,265.75,4,53.15,1063,1116.15,10-01-2016,Ewallet,4.9
Central,Pudukottai,Normal,Male,Bakery,320.71,7,112.25,2245,2357.25,07-11-2015,Cash,6.2
East,Tirunelveli,Member,Male,Oil & Masala,1620.0,1,81.0,1620,1701.0,08-04-2015,Cash,8.8
West,Nagercoil,Member,Female,Oil & Masala,229.88,8,91.95,1839,1930.95,05-11-2016,Cash,6.2
South,Tirunelveli,Member,Female,Fruits & Veggies,396.83,6,119.05,2381,2500.05,08-04-2017,Ewallet,4.5
West,Nagercoil,Normal,Female,Beverages,353.0,5,88.25,1765,1853.25,11-02-2015,Ewallet,7.3
Central,Tirunelveli,Member,Male,"Eggs, Meat & Fish",140.56,9,63.25,1265,1328.25,12-08-2017,Cash,9.1
